# theta,S11,S12,S33,S34
1.684242728174528025e+00,7.066367268882449426e-02,-2.210455400624371236e-02,-4.578242423519771065e-03,6.696105604282133472e-02
1.692969374434499574e+00,6.892527384744287500e-02,-2.134877099644639717e-02,-5.512705744900318200e-03,6.530339521997631513e-02
1.701696020694471345e+00,6.723748961105024957e-02,-2.061093650957068063e-02,-6.397054034290704932e-03,6.368003615794279315e-02
1.710422666954442894e+00,6.559976318098630077e-02,-1.989396488790129425e-02,-7.233682557379477601e-03,6.209052203919290802e-02
1.719149313214414665e+00,6.401341085628149685e-02,-1.919882607573879588e-02,-8.026250977051143515e-03,6.053677512076452438e-02
1.727875959474386214e+00,6.247573049421152602e-02,-1.852188155402829939e-02,-8.775835492622209577e-03,5.901814564937067631e-02
1.736602605734357985e+00,6.098260512672525752e-02,-1.786103674510838152e-02,-9.482414956486832219e-03,5.753212407885685553e-02
1.745329251994329534e+00,5.953240265059421554e-02,-1.721759945809392400e-02,-1.014799113735942795e-02,5.607744207904988981e-02
1.754055898254301304e+00,5.812610110911411998e-02,-1.659446662433452721e-02,-1.077563541103138470e-02,5.465485329858028180e-02
1.762782544514272853e+00,5.676339094490197995e-02,-1.599006184179622286e-02,-1.136785672656345780e-02,5.326511341679128486e-02
1.771509190774244402e+00,5.544167073380902588e-02,-1.540150998499177637e-02,-1.192500911068429884e-02,5.190728755818774243e-02
1.780235837034216173e+00,5.415759687273852957e-02,-1.482761158420840136e-02,-1.244705683689119324e-02,5.057922508142159018e-02
1.788962483294187722e+00,5.290976259518723884e-02,-1.426969898144466592e-02,-1.293557505190071413e-02,4.927970745585524837e-02
1.797689129554159493e+00,5.169949482444900074e-02,-1.373010601460453867e-02,-1.339383323383284280e-02,4.800965720805787373e-02
1.806415775814131042e+00,5.052576903435565536e-02,-1.320715812704029157e-02,-1.382312948772097469e-02,4.676906458211566031e-02
1.815142422074102813e+00,4.938646291108039765e-02,-1.269859703183372560e-02,-1.422379157644221986e-02,4.555713012779179227e-02
1.823869068334074361e+00,4.827867221037297762e-02,-1.220360747978097363e-02,-1.459557837977980971e-02,4.437196464701307491e-02
1.832595714594046132e+00,4.720136141897768312e-02,-1.172329328698794651e-02,-1.493991379327146325e-02,4.321263576966620501e-02
1.841322360854017681e+00,4.615585561670548786e-02,-1.125965427418715303e-02,-1.525968961455937724e-02,4.207998415165161571e-02
1.850049007113989230e+00,4.514165634915217468e-02,-1.081110772541001713e-02,-1.555647391011713739e-02,4.097420172716456643e-02
1.858775653373961001e+00,4.415701894418253698e-02,-1.037554546823839241e-02,-1.583061655006885726e-02,3.989463570353912747e-02
1.867502299633932550e+00,4.319926890343249448e-02,-9.951853685786736514e-03,-1.608173841935573584e-02,3.883960776603157666e-02
1.876228945893904321e+00,4.226749596018011812e-02,-9.540765974915755426e-03,-1.631097700895326255e-02,3.780829311631418721e-02
1.884955592153875870e+00,4.136192803214228109e-02,-9.143882378959435758e-03,-1.651976073637163173e-02,3.680076100828495733e-02
1.893682238413847641e+00,4.048344966668379619e-02,-8.760778337958588513e-03,-1.671046907206175797e-02,3.581785425203111439e-02
1.902408884673819189e+00,3.963071447881294507e-02,-8.389593810761802190e-03,-1.688356724814234905e-02,3.485905051445142150e-02
1.911135530933790960e+00,3.880088884365089780e-02,-8.028608422462342464e-03,-1.703844500962260755e-02,3.392258559588560984e-02
1.919862177193762509e+00,3.799278291076850500e-02,-7.678702840734054347e-03,-1.717550898377508822e-02,3.300743805775824269e-02
1.928588823453734058e+00,3.720577853997906331e-02,-7.340687297942663850e-03,-1.729549960611182630e-02,3.211308082596211338e-02
1.937315469713705829e+00,3.644131473771681368e-02,-7.015381531883572996e-03,-1.740079054246229315e-02,3.124045982812670083e-02
1.946042115973677378e+00,3.569877888086961382e-02,-6.701076613475517169e-03,-1.749238399164756291e-02,3.038938775451565516e-02
1.954768762233649149e+00,3.497697799699664434e-02,-6.396426164277236107e-03,-1.757086760915153173e-02,2.955908208299111786e-02
1.963495408493620697e+00,3.427343325998602475e-02,-6.100795267572508424e-03,-1.763540820032873102e-02,2.874788517678577779e-02
1.972222054753592468e+00,3.358771942389635057e-02,-5.814949834089293973e-03,-1.768657926269538716e-02,2.795543182477785993e-02
